"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"58","Bursera simaruba",2,NA,-1.6202111444866,-4.04508055897337,NA,NA,-2.33829381606475,-3.24042401814953,"0","1","0","1","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","1","1","0","0","0","1","0","0","0","1"
"59","Butomus umbellatus",1,-2.69862904817626,-1.72557166014443,-0.826204734105167,0.00760145790501712,NA,-1.01653797608243,-9.72038336853849,"1","0","0","1","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","1","0","0","1","0"
"60","Buxus balearica",5,-0.683726027634,-2.53650187636076,-3.35193337841342,-0.685545722654928,NA,-2.33829381606475,-5.9973709080551,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"1","0","1","0","1","1","0","1","0","1","1","1","0","0",NA,NA,NA,NA,NA
"61","Byrsonima crassifolia",5,0.0502431474462006,-1.6202111444866,-4.73822773953331,-0.685545722654928,1.07870894414484,-1.6451466355048,-6.92717535909598,"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0"
"62","Cabomba caroliniana",1,-0.172900403868009,-2.13103676825259,-3.6396154508652,-0.685545722654928,0,-0.9111774604246,-7.87455667804016,"1","0","0","1","1","0","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","1","0","0","1","0"
"63","Calceolaria purpurea",4,NA,-3.2296490569207,NA,NA,NA,-1.58845129182826,-12.6107551264347,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0","0","0","1","0","0","0","1","1","0"
"64","Camellia sinensis",5,-0.866047584427954,0.682373948507445,-3.35193337841342,-0.685545722654928,1.07870894414484,-0.815867280620276,-0.757657136504925,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"65","Canacomyrica monticola",2,-0.529575347806742,-2.13103676825259,-4.73822773953331,-1.78415801132304,NA,NA,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0",NA,NA,NA,NA,NA
"66","Canna indica",4,-1.5591947649879,-4.61594341804059,NA,-0.685545722654928,1.07870894414484,-0.0357087230707004,-2.96119254955218,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","1","0","1","0"
"67","Cannabis sativa",6,NA,-2.31335832504655,-5.43137492009326,-1.09101083076309,1.07870894414484,-2.5206153728587,-5.10141986041807,"1","0","0","1","0","1","1","1","0","1","0","1","0","1","0","0","0","1","1","1","1","0","1","0","1","0","0","1","0","0","1","1"
"68","Capparis zeylanica",5,NA,-0.298455304504281,NA,NA,NA,0.369756385037464,NA,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,NA,NA,NA,"0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"69","Cardiocrinum cordatum",1,-2.17538090441172,-2.13103676825259,1.00637672964314,-0.685545722654928,NA,0.880582008803455,-6.73863733695924,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","1","1"
"70","Carex laxiflora",6,NA,NA,-4.73822773953331,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0","0","0","1","1","0","0",NA,NA,NA,NA,NA,"0","1","0","1","0","0",NA,NA,NA,"0","1"
"71","Carica papaya",2,-0.683726027634,-1.6202111444866,NA,-0.174720098888937,1.07870894414484,-0.441173831178865,-4.88675046975859,"0","1","0","1","0","1","1","0","1","0","0","1","1","0","1","1","0","0","1","1","0","0","1","1","1","0","1","1","0","0","1","0"
"72","Caryocar brasiliense",5,NA,1.78098623717556,NA,-0.53139504282767,NA,-0.0357087230707004,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"73","Catalpa speciosa",5,0.9257118848001,-3.2296490569207,NA,-1.09101083076309,1.07870894414484,-0.12272010006033,-5.07013359777751,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0"
"74","Catharanthus roseus",5,-2.60901688948658,-2.31335832504655,NA,-1.09101083076309,NA,-0.325615490544593,-7.64791049617475,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","1","0","1","1","0","1","0","0","0","1","0","0","1","0"
"75","Caulophyllum thalictroides",1,-3.07332249761768,-2.13103676825259,-3.92729752331698,-1.78415801132304,NA,-1.93282870795658,-2.7141411428417,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
