"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Acacia decora"	-1.23798798677959	NA	1.35122373818405	0.100052910177841	0.333025998254584	NA
"Acacia decurrens"	NA	NA	0.604811256105303	0.487184296964755	0.592409391696057	0.318106319475186
"Acacia deficiens"	NA	NA	NA	NA	0.186715079387906	NA
"Acacia desmondii"	NA	NA	NA	0.706756675987241	-0.078208316643333	NA
"Acacia dictyoneura"	NA	NA	NA	NA	0.179686019405312	NA
"Acacia dictyophleba"	NA	NA	NA	NA	NA	0.924534590446432
"Acacia difficilis"	NA	NA	NA	0.926329055009727	0.581179794710503	0.961599922588152
"Acacia difformis"	NA	NA	NA	NA	0.997343562062226	NA
"Acacia dimidiata"	NA	0.263105712756416	1.57585516440493	NA	0.942104056888965	NA
"Acacia disticha"	NA	NA	NA	NA	0.111038585586315	NA
"Acacia dodonaeifolia"	NA	NA	NA	NA	0.600463479215373	NA
"Acacia dolichostachya"	NA	NA	NA	NA	0.912874232902616	NA
"Acacia doratoxylon"	-0.394961079535791	0.119613142658901	1.83988141899659	0.65369713786416	0.406805252252503	0.973795778934799
"Acacia drepanolobium"	NA	NA	NA	NA	0.955536382125064	NA
"Acacia drepanophylla"	NA	NA	NA	NA	0.678222725897607	NA
"Acacia drummondii"	NA	NA	NA	NA	0.0184799680086501	NA
"Acacia dudgeoni"	NA	0.882424457997937	0.0977264343289801	NA	1.43117363155976	NA
"Acacia durabilis"	NA	NA	NA	NA	0.415773125049127	NA
"Acacia duriuscula"	NA	NA	NA	NA	-0.318648014959776	NA
"Acacia ebutsiniorum"	NA	NA	NA	NA	0.923992238479156	NA
"Acacia effusa"	NA	NA	NA	NA	0.726624993675581	NA
"Acacia ehrenbergiana"	NA	NA	NA	NA	0.612755803544101	NA
"Acacia elachantha"	NA	NA	NA	NA	0.240688241763685	NA
"Acacia elata"	NA	NA	NA	1.00420771069428	0.820085955808515	0.16802641706311
"Acacia elongata"	NA	NA	NA	NA	0.199862360807266	NA
"Acacia empelioclada"	NA	NA	NA	NA	-0.0927409643842342	NA
"Acacia enterocarpa"	NA	NA	NA	NA	-0.00675013351931095	NA
"Acacia eremophila"	NA	NA	NA	NA	-0.248692561625106	NA
"Acacia erinacea"	NA	NA	NA	NA	-0.0114741202111138	NA
"Acacia eriocarpa"	NA	NA	NA	0.519121806261205	NA	NA
"Acacia erioloba"	NA	0.802330776506872	0.576144375161594	0.976518502222778	2.04252641610896	1.53751817083464
"Acacia eriopoda"	NA	NA	NA	NA	0.0654897205435588	1.24517924879516
"Acacia errabunda"	NA	NA	NA	NA	0.253100978405581	NA
"Acacia erubescens"	NA	1.59035776621182	NA	0.547587533938255	NA	NA
"Acacia estrophiolata"	NA	NA	NA	1.23790721938044	0.901509314888307	NA
"Acacia etbaica"	NA	NA	NA	NA	0.960485459956347	NA
"Acacia excelsa"	-0.978609822570141	NA	1.82458592289929	0.983385158273373	0.626831833563825	1.30736347963138
"Acacia extensa"	NA	NA	NA	NA	0.358102511042103	NA
"Acacia exuvialis"	NA	0.396543942019249	NA	0.282105287134789	0.797735013977321	NA
"Acacia falcata"	NA	NA	0.884900821818317	0.111822835756914	0.412467427056373	NA
"Acacia falciformis"	NA	NA	NA	NA	0.957612254909135	NA
"Acacia farinosa"	NA	NA	NA	NA	0.193118853344679	NA
"Acacia farnesiana"	-2.54368629502908	1.1621619779745	NA	0.221500742323101	1.22840976198836	NA
"Acacia fasciculifera"	-0.32141864787534	NA	NA	NA	NA	1.36757327080351
"Acacia ferruginea"	NA	NA	NA	NA	NA	1.20256062095452
"Acacia filicifolia"	NA	NA	NA	0.487184296964755	0.368635069047992	NA
"Acacia filifolia"	NA	NA	NA	NA	-0.191639212903561	NA
"Acacia fimbriata"	NA	NA	NA	NA	0.569977655767229	NA
"Acacia flabellifolia"	NA	NA	NA	NA	0.188858586568051	NA
"Acacia flavescens"	NA	NA	NA	NA	0.823934505530187	NA
"Acacia fleckii"	NA	1.5279680310069	NA	0.469711784500564	1.40350987259821	NA
"Acacia flexifolia"	NA	NA	NA	NA	0.108542182630763	NA
"Acacia flocktoniae"	NA	NA	NA	NA	-0.0114741202111138	NA
"Acacia floribunda"	-0.754984949747413	0.367720369391132	0.886055097003221	0.648093651311177	0.15360797697185	NA
"Acacia floydii"	NA	NA	NA	NA	0.79430638624995	NA
"Acacia fragilis"	NA	NA	NA	NA	-0.289236383438478	NA
"Acacia frigescens"	NA	NA	NA	NA	0.442194651126466	NA
"Acacia furcatispina"	-2.85897659632671	1.37809232984447	1.49394125532504	0.0783153172906574	1.05850464454738	1.26404954504562
"Acacia gageana"	-1.63428922502974	NA	NA	1.10849659772067	NA	NA
"Acacia galeata"	NA	NA	NA	NA	1.22302991051154	NA
