"","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"Cleomella_arborea",-0.238852861546219,-0.191851995287345,0.561210741178656,-1.61060131658324,-0.00519099961073534,0.138898390329008,-0.452117379785322,"woody","non-climbing","non-aquatic","bisexual","long_short","outcrossing","biotic","abiotic","long","superior","pollen","zygomorphic","bright"
"Clethra_alnifolia",0.0328540784407074,0.296915853911674,1.42049096065661,0.0384931216028799,0.410413406723782,-0.738761058392809,-1.05919840305325,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","pollen","actinomorphic","bright"
"Clutia_pulchella",-0.468644016512802,-0.366300791570949,-0.784439733353737,0.0384931216028799,0.410413406723782,0.974284243333207,-0.175952186653341,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","autonomous_biotic","short","superior","pollen","actinomorphic","bright"
"Cobaea_scandens",1.49296621051857,-0.366300791570949,1.16300180006931,0.0384931216028799,0.410413406723782,1.28760702169376,0.74641252953983,"woody","climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Cochlospermum_vitifolium",1.06866200051532,3.03552508465828,2.07715756801884,0.805278368522632,0.410413406723782,1.84767308354312,0.468535093133993,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","pollen","actinomorphic","bright"
"Coffea_arabica",0.562557543274467,-0.366300791570949,-0.784439733353737,-0.570138569082411,0.291669290628206,0.725907330355786,1.02620540943136,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","biotic","long","inferior","nectar_pollen","actinomorphic","bright"
"Combretum_leprosum",1.06866200051532,0.0834077827338659,0.0441812681695879,-0.570138569082411,0.404476200919004,-0.266890018817715,0.343516318759781,"woody","climbing_non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","inferior","nectar_other","actinomorphic","bright"
"Commelina_communis",-0.367851123969636,-0.855068640769968,-0.370129232592074,-0.570138569082411,0.380727377699889,-0.0299486760300464,-0.274365848944684,"herbaceous","non-climbing","non-aquatic","bisexual","short","mixed","biotic","autonomous","short","superior","pollen","zygomorphic","bright"
"Cordyline_australis",1.06866200051532,-0.191851995287345,-0.279573218466127,0.0384931216028799,0.410413406723782,-0.738761058392809,-0.106214940278066,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","nectar_other","actinomorphic","bright"
"Coriaria_myrtifolia",0.267251595694639,0.296915853911674,-0.784439733353737,0.805278368522632,0.063086867144221,-0.530548267484526,0.165300599582337,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","abiotic","biotic","long","superior","none","actinomorphic","dull"
