"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"153","Haumania danckelmaniana","woody","climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","inferior",NA,"zygomorphic","bright"
"154","Hedychium gardnerianum","herbaceous","non-climbing","monomorphic","long","selfing","biotic","biotic","bisexual","inferior",NA,"zygomorphic","bright"
"155","Helianthus annuus","herbaceous","non-climbing","monomorphic","short","outcrossing","biotic","autonomous","bisexual","inferior","nectar_pollen","actinomorphic_zygomorphic","bright"
"156","Heliconia irrasa","herbaceous","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior","nectar",NA,"bright"
"157","Herniaria glabra","herbaceous","non-climbing","monomorphic","long_short","selfing","biotic","abiotic_autonomous","bisexual","superior","nectar","actinomorphic","dull"
"158","Hevea brasiliensis","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","unisexual","intermediate",NA,"actinomorphic",NA
"159","Hirtella physophora","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,"nectar_pollen","zygomorphic","bright"
"160","Hordeum bulbosum","herbaceous","non-climbing","monomorphic","long","outcrossing","abiotic","biotic","bisexual","superior","none","zygomorphic","dull"
"161","Hydnocarpus heterophylla","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,NA,NA
"162","Hydrastis canadensis","herbaceous","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"163","Hydrocotyle vulgaris","herbaceous","non-climbing","monomorphic","long",NA,"autonomous_biotic","abiotic","bisexual","inferior",NA,"actinomorphic","bright"
"164","Hydrophyllum capitatum","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","superior","nectar_pollen","actinomorphic","bright"
"165","Hypericum perforatum","herbaceous","non-climbing","monomorphic","long","selfing","biotic","abiotic","bisexual","superior","pollen","actinomorphic","bright"
"166","Hypolytrum pulchrum","herbaceous","non-climbing","monomorphic","long","outcrossing",NA,NA,"unisexual",NA,NA,NA,NA
"167","Ilex opaca","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"168","Impatiens capensis","herbaceous","non-climbing","monomorphic","short","mixed","biotic","autonomous","bisexual","superior","nectar","zygomorphic","bright"
"169","Ipomoea alba","herbaceous","climbing","monomorphic","long_short","selfing","biotic",NA,"bisexual","superior","nectar","actinomorphic","bright"
"170","Iris versicolor","herbaceous","non-climbing","monomorphic","long","mixed","autonomous_biotic","abiotic","bisexual","inferior",NA,"actinomorphic","bright"
"171","Irvingbaileya australis","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright"
"172","Juglans mandshurica","woody","non-climbing","monomorphic","long",NA,"abiotic","biotic","unisexual","inferior","none",NA,"dull"
"173","Jumellea fragrans","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","inferior","nectar","zygomorphic","bright"
"174","Juncus effusus","herbaceous","non-climbing","monomorphic","short","mixed","abiotic","biotic","bisexual","superior","none","actinomorphic","dull"
"175","Kalanchoe daigremontiana","herbaceous","non-climbing","monomorphic","long_short","selfing","biotic","abiotic","bisexual","intermediate_superior","nectar","actinomorphic","bright"
"176","Kalmia latifolia","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"177","Kielmeyera regalis","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual",NA,"pollen","actinomorphic","bright"
"178","Kirengeshoma palmata","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual",NA,NA,NA,"bright"
"179","Kirkia wilmsii","woody","non-climbing","dimorphic","long","outcrossing","biotic","abiotic","unisexual","superior",NA,"actinomorphic",NA
"180","Lactoris fernandeziana","woody","non-climbing","monomorphic","long","mixed","abiotic","abiotic_autonomous","bisexual_unisexual","superior","none","actinomorphic","dull"
"181","Lantana camara","woody","non-climbing","monomorphic","long","selfing","biotic","biotic","bisexual","superior",NA,"zygomorphic","bright"
"182","Lapageria rosea","woody","climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior_superior","nectar","actinomorphic","bright"
"183","Larrea tridentata","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual",NA,"nectar_pollen","actinomorphic","bright"
"184","Lemna minor","herbaceous","non-climbing","monomorphic","short",NA,"biotic","abiotic","bisexual","superior",NA,NA,"dull"
"185","Lepidobotrys staudtii","woody","non-climbing","dimorphic","long","outcrossing",NA,"autonomous","unisexual","superior",NA,"actinomorphic",NA
"186","Limnanthes douglasii","herbaceous","non-climbing","dimorphic","short",NA,"biotic",NA,"bisexual","superior",NA,"actinomorphic","bright"
"187","Linum perenne","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","superior",NA,"actinomorphic","bright"
"188","Liparis loeselii","herbaceous","non-climbing","monomorphic","long","selfing","abiotic_autonomous","abiotic","bisexual","inferior","none","zygomorphic","dull"
"189","Liriodendron chinense","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic_autonomous","bisexual","superior","nectar","actinomorphic","dull"
"190","Loasa heterophylla","herbaceous","non-climbing","monomorphic","long","outcrossing",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright"
"191","Lobelia angulata","herbaceous","non-climbing","dimorphic","long","outcrossing","biotic",NA,"bisexual_unisexual","inferior","nectar","zygomorphic","bright"
"192","Ludwigia adscendens","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","inferior",NA,"actinomorphic","bright"
"193","Lythrum salicaria","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
