"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Petrosavia sakuraii","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic",NA,NA,"bisexual","intermediate","nectar","actinomorphic","bright",NA,NA,6,NA,NA,55,3,NA,NA,NA,NA,0.5,NA
"Petunia axillaris","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",7.75,0.6,4,NA,NA,NA,2,NA,1.35,0.7,NA,7.75,NA
"Peumus boldus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,NA,5,38.5,1,NA,NA,5,0,NA,NA,NA,NA,1000
"Phelline comosa","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,"actinomorphic","bright",NA,NA,4,1,NA,NA,4.5,1,NA,NA,NA,NA,NA
"Phoenix dactylifera","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none","actinomorphic","bright_dull",NA,30,6,NA,NA,NA,3,NA,NA,NA,NA,NA,1076.15
"Phormium tenax","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","intermediate_superior","nectar","zygomorphic","bright",3.75,NA,6,NA,NA,NA,3,NA,7,2.5,NA,3.75,7.63
"Phragmites australis","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","bisexual_unisexual","superior","none",NA,"dull",NA,5.3,2.5,1,NA,NA,3,NA,NA,NA,NA,NA,0.1
"Phryma leptostachya","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",NA,0.7,4,1,38,2535.5,2,1,NA,NA,NA,NA,5.92
"Phyllanthus niruri","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing",NA,"abiotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
"Physena madagascariensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",NA,NA,10,1,NA,NA,2,1,NA,NA,NA,NA,NA
"Picramnia polyantha","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior","nectar","actinomorphic","bright",NA,NA,5.5,2,NA,NA,2,1,NA,NA,NA,NA,NA
"Pinguicula alpina","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual",NA,NA,NA,"bright",NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,0.02
"Piper amalago","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36
"Piper arboreum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual",NA,"none","actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01
"Pitcairnia albiflos","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","intermediate","nectar","actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittosporum dasycaulon","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual_unisexual","superior","pollen","zygomorphic","bright",1.14,NA,5,5.5,45,2600,NA,NA,NA,12.5,NA,1.14,NA
"Plantago lanceolata","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous","short","bisexual_unisexual","superior","none_pollen","actinomorphic","bright_dull",NA,0.13,4,NA,17.5,25119,2,1,NA,NA,NA,0.4,1.35
"Platea latifolia","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic","dull",NA,NA,5,1,NA,NA,2,1,3.5,1.75,NA,NA,NA
"Plocosperma buxifolium","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"zygomorphic","bright",0.8,NA,5,1.5,NA,NA,2,1,NA,NA,NA,0.8,20.72
"Plumbago auriculata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",3.3,0.85,5,1,68.5,1295,1,NA,NA,NA,NA,3.3,14.75
