,NDat,NTaxDat,NChrDat,NRefDat,NCstDat,Simple,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
8752,449823,Bursera simaruba,4. Plant sexual system (D1),World Flora Online 2023 (website),4. Plant sexual system (D1): (1) monoecious,dioecious,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,27-Mar-23,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 27/03/2023] Bursera simaruba / 4. Plant sexual system (D1): (1) monoecious [World Flora Online 2023, Sylvain Glémin, 27/03/2023]"
2408,268949,Cannabis sativa,4. Plant sexual system (D1),Flora of North America 2011 (website),4. Plant sexual system (D1): (1) monoecious,dioecious,NA,NA,NA,"""Flowers: staminate and pistillate on different plants, sometimes on same plants, especially in cultivars"", ""Flowers unisexual, often transitional flowers and flowers of opposite sex developing later""",,,NA,Hervé Sauquet,10-Jun-11,Hervé Sauquet,07-Jan-20,FALSE,NA,NA,FALSE,"[As of 3/06/2014] Cannabis sativa / 100. Sex (D1): (1) unisexual monoecious (structurally) [Flora of North America 2011, Hervé Sauquet, 10/06/2011] {""Flowers: staminate and pistillate on different plants, sometimes on same plants, especially in cultivars"""
8311,413361,Cannabis sativa,4. Plant sexual system (D1),Castroviejo et al. 2005 (book),4. Plant sexual system (D1): (2) dioecious,dioecious,NA,NA,NA,"Fully applicable to this species, because it is the only species included in the source. Departures from stric dioecy are known, due to sexual lability.",explicit from the text (described as such),genus,3,Marcos Méndez Iglesias,08-Apr-22,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 8/04/2022] Cannabis sativa / 4. Plant sexual system (D1): (2) dioecious [Castroviejo et al. 2005, Marcos Méndez Iglesias, 8/04/2022] {Fully applicable to this species, because it is the only species included in the so"
6979,349781,Commelina communis,4. Plant sexual system (D1),Ushimaru et al 2003 (PlantSpBiol),4. Plant sexual system (D1): (5) andromonoecious,bisexual,NA,NA,NA,DOI:10.1111/J.1442-1984.2003.00092.X,explicit from the text (described as such),species,3,Johanne Cros,20-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 20/10/2021] Commelina communis / 4. Plant sexual system (D1): (5) andromonoecious [Ushimaru et al 2003, Johanne Cros, 20/10/2021] {DOI:10.1111/J.1442-1984.2003.00092.X}"
3191,280849,Coriaria myrtifolia,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (5) andromonoecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Coriaria myrtifolia / 4. Plant sexual system (D1): (5) andromonoecious [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
7142,351789,Curculigo latifolia,4. Plant sexual system (D1),Okubo et al 2010 (article),4. Plant sexual system (D1): (5) andromonoecious,bisexual,NA,NA,NA,https://www.jstage.jst.go.jp/article/jjshs1/79/4/79_4_354/_pdf/-char/ja,explicit from the text (described as such),species,3,Johanne Cros,27-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 27/10/2021] Curculigo latifolia / 4. Plant sexual system (D1): (5) andromonoecious [Okubo et al 2010, Johanne Cros, 27/10/2021] {https://www.jstage.jst.go.jp/article/jjshs1/79/4/79_4_354/_pdf/-char/ja}"
6783,347862,Cymodocea nodosa,4. Plant sexual system (D1),"Flora Europea, volume 5 2021 (book)",4. Plant sexual system (D1): (1) monoecious,dioecious,NA,NA,NA,,explicit from the text (described as such),genus,3,Johanne Cros,14-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 14/10/2021] Cymodocea nodosa / 4. Plant sexual system (D1): (1) monoecious [Flora Europea, volume 5 2021, Johanne Cros, 14/10/2021]"
7572,359147,Cymodocea nodosa,4. Plant sexual system (D1),Castroviejo 2010 (book),4. Plant sexual system (D1): (2) dioecious,dioecious,NA,NA,NA,,explicit from the text (described as such),genus,3,Marcos Méndez Iglesias,24-Nov-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 24/11/2021] Cymodocea nodosa / 4. Plant sexual system (D1): (2) dioecious [Castroviejo 2010, Marcos Méndez Iglesias, 24/11/2021]"
2355,258510,Datisca glomerata,4. Plant sexual system (D1),Davidson 1973 (article),4. Plant sexual system (D1): (6) androdioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Andrea López,02-Sep-19,,,FALSE,NA,NA,FALSE,"[Created by Andrea López on 2/09/2019] Datisca glomerata / 4. Plant sexual system (D1): (6) androdioecious [Davidson 1973, Andrea López, 2/09/2019]"
3199,280857,Datisca glomerata,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (6) androdioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Datisca glomerata / 4. Plant sexual system (D1): (6) androdioecious [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
