Genus,Species,Seed_weight,References
Viburnum,rufidulum,81.11,Seed_Information_Database(https://ser-sid.org)
Viola,pubescens,1.98,Seed_Information_Database(https://ser-sid.org)
Vitex,negundo,22.2,Seed_Information_Database(https://ser-sid.org)
Vitis,labrusca,54.65,https://uol.de/en/landeco/research/leda
Viviania,marifolia,1.56,Seed_Information_Database(https://ser-sid.org)
Vriesea,carinata,0.24,Seed_Information_Database(https://ser-sid.org)
Warburgia,ugandensis,5780,Seed_Information_Database(https://ser-sid.org)
Wurmbea,biglandulosa,0.87,Seed_Information_Database(https://ser-sid.org)
Xanthosoma,sagittifolium,,
Ximenia,americana,866.86,Seed_Information_Database(https://ser-sid.org)
Zea,mays,305.7,"Törő-Szijgyártó V, Balogh N, Henn T, et al. 2023. New thousand-seed weight dataset for plant species of Central Europe. Data in Brief 48: 109081."
Zelkova,serrata,19.1,Seed_Information_Database(https://ser-sid.org)
Zostera,marina,3.55,"Jørgensen MS, Labouriau R, Olesen B. 2019. Seed size and burial depth influence Zostera marina L. (eelgrass) seed survival, seedling emergence and initial seedling biomass development. PLOS ONE 14: e0215157."
